,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L2182,L2182,L2182,L2182,L2182,L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,1,1,1,1,1,1,5.03,4.73,5.1,4.6,4.69,4.69,1,1,1,1,1,1,4.83,4.95,4.95,5.24,5.58,5.3,1,1,1,1,1,1,5.1,4.72,4.95,4.98,4.89,4.78,5.38,5.46,5.01,5.25,5.16,5.26,1,1,1,1,1,1
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,1.3,1.3,1,1,1.3,1,6.15,6.28,6.32,6.65,6.6,6.55,1,1,1,1,1,1,6.3,6,6.08,6.93,6.52,6.52,1.6,1.6,1.48,1.3,1.3,1.3,5.38,5.9,5.65,5.94,6.01,5.72,6.28,6.06,6.14,6.36,6.46,6.37,2,1,1.48,2,1.85,1.78
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,1.6,1.7,1.7,1.7,1.6,1.7,7.94,8,7.9,8,8,7.86,1,1.3,1.6,1,1.6,1.6,8.32,8.47,8.36,8.89,8.88,9,1.7,1.7,2,1.7,1.6,2,6.93,6.91,6.99,7.41,7.49,7,7.44,7.47,7.41,8.08,8.03,8.09,2,2.3,2,1.7,1.7,2
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,2,2,2.3,2.3,2.3,2,7,7,7.03,7.65,7.66,7.28,1.6,1.3,1.7,1.6,2,2,8.08,8,8,8.03,8.02,8.34,2,2.3,2.3,2.3,2,2,7.53,7.83,7.63,7.76,7.83,7.62,8.54,8.52,8.49,8.45,8.49,8.38,2.36,2.3,2,2.3,2.6,1.95
