,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L1253,L1253,L1253,L1253,L1253,L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,1,1,1,1,1,1,4.69,4.9,4.78,5.1,5.04,4.61,1,1,1,1,1,1,5.53,5.38,5.56,4.92,5.14,5,1,1,1,1,1,1,4.46,4.73,4.69,4.94,4.77,4.87,5.17,5.29,5.24,5.35,5.03,5,1,1,1,1,1,1
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,1.3,1.3,1,1,1,1,6.38,6.28,6.43,6.38,6.28,6.43,1.3,1,1,1,1,1,6.55,6.48,6.36,6,6.3,6.23,1.3,1.6,1.3,1.6,1.6,1.48,6.24,6.03,6.03,6.38,5.56,6.18,6.4,6.36,6.58,5.99,6.23,6,1.6,1.95,1.6,2,1.3,1.48
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,1.6,2,2,1.6,2,1.7,8.11,8.22,8.18,8.16,8.17,8,1.3,1.3,1.3,1.7,1.3,1.6,8.4,8.4,8.2,9.08,9.01,9.08,2,2,2.11,1.87,2.04,1.61,6.84,6.89,6.99,6.65,6.67,6.59,7.43,7.45,7.49,7.99,7.84,7.61,2.3,2,2,2,1.6,2.3
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,2,2,2,2.3,2.3,2.6,7.15,7.18,7,7.69,7.62,7.72,1.7,1.6,2,2,2,2,8.4,8,8.13,8.28,8.39,8,2.78,2.3,2.3,2.6,2.3,2.6,7.73,7.81,7.83,7.9,7.78,7.85,8.43,8.5,8.46,8.52,8.49,8.54,2.3,2.6,2.6,2.5,2.3,2.3
