,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L1253,L1253,L1253,L1253,L1253,L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D1-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253,D1-D6-L1253
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,3.8,3.77,3.56,3.4,3.5,3.6,5.06,5.06,4.89,4.6,4.76,4.43,2.48,2.43,2.78,2,2,2,5.45,5.05,5.3,5.23,5,5.31,3,3,2.6,2.43,2.58,2.52,4.48,4.61,4.76,4.65,4.89,4.54,4.15,4.3,4.48,4.95,5.19,5.45,3.58,3.6,3.68,3.34,3.46,3.83
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,4.59,4.91,4.88,4.73,4.66,4.58,7.28,7.39,7.3,6.48,7.2,7.1,4.08,4,4,4,4,4.2,6.45,6.78,6.72,6.28,6.77,6.11,3.85,3.6,3.63,4.18,4.15,4.1,6.51,6,6.49,7,6.51,6.72,6.37,6.22,6.42,6.67,7.12,6.92,4.54,4.32,4.32,4.3,4.3,4
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,6.43,6.45,6.57,6.29,6.6,6.5,8.05,8.07,7.98,8.1,8.14,8.27,5.08,4.7,4.7,5,5,5.48,8.42,8.65,8.48,8.02,8,7.95,6.04,5.96,5.94,5.69,5.49,5.78,7.83,7.52,7.78,7.27,7.3,7.27,8.19,8.23,8.14,7,7,7.22,5.18,5.18,5.2,6.24,6.24,6.07
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,7.04,7.09,7.13,7,7.19,7.2,8.16,8.13,8.26,8.06,7.94,8.1,5.48,5.95,5.8,6,6,6,9.26,9.23,9.17,9.45,9.42,9.23,6.77,7,6.84,7.62,7.55,7.6,7.95,8,7.94,8.12,8.23,8.28,8.97,8.92,8.73,8.95,8.8,8.72,7.08,7.09,7.08,7.29,7.02,7
