,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L43,L43,L43,L43,L43,L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,3.56,3.34,3.78,3.6,3.5,3.66,5.07,5.28,5.17,5.16,4.83,4.74,2.11,2.7,2.43,2,2,2,5.35,5.28,5.16,5.28,5.28,5.18,2.48,2.6,2.3,2.66,2.57,2.34,4.26,4.8,4.79,4.46,4.45,4.43,5.36,5.41,5.44,4,4.28,4.11,4,4,4.01,3.6,3.6,3.3
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,4.8,4.77,4.65,4.6,4.92,4.78,6.9,6.6,7.32,7.16,7.19,7.22,4.23,3,3.9,3.86,3.9,3.66,6.91,6.58,6.83,6.6,6.43,6.54,4,4.11,4.41,3.97,4.08,4.12,6.61,6.62,6.6,6,6.54,5.92,6.19,6.12,6.21,6.54,6.79,6.93,4.54,4.32,4.54,4,4.6,4.34
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,6.12,6.28,6,6.22,6.29,6.1,8.17,7.9,8,8.09,8.02,8.14,5.3,5.04,5.15,5.3,5.3,5,8.21,8.06,7.9,7.96,8,7.9,5.6,6.08,6.11,5.64,5.52,5.61,7.61,7.27,7.51,7.04,6.95,7.33,8.04,8.08,8.03,6.96,6.94,7.08,5.04,5.28,5.11,6.05,5.88,5.98
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,7.15,7.14,7.53,6.88,7,7.23,8.01,7.88,7.85,8.15,7.8,8.11,5.48,5.95,5.95,6,6,6,9.16,9.2,9.16,9.1,9.25,9.21,7.21,6.8,7.11,7.46,7.61,7.56,7.97,8.07,8.02,7.91,7.95,7.97,9,9,8.9,8.7,8.9,8.84,6,7.09,6.59,6.96,7.09,6.81
