,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L43,L43,L43,L43,L43,L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D1-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43,D1-D6-L43
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,1,1,1,1,1,1,5.11,4.9,4.78,4.97,5.09,4.82,1,1,1,1,1,1,5.4,5.6,5.54,4.95,4.85,4.81,1,1,1,1,1,1,5.15,4.83,4.75,4.94,4.87,4.77,5.49,5.36,4.92,5.29,5.33,5.22,1,1,1,1,1,1
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,1.3,1.3,1.3,1,1.3,1,6.18,6.28,6.32,6.18,6.28,6.32,1,1,1,1,1,1,6,6,6.08,6.56,6.34,6.63,1.3,1.3,1.78,1.3,1.6,1.6,6.05,5.95,6.11,6,5.66,6,6.37,6.34,6.34,6.16,6.25,6.36,2,1.6,1.3,2,1.3,1.7
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,2,1.7,1.7,1.7,2,1.7,8.01,7.94,7.9,8.32,8.28,8.2,1.3,1.3,1.7,1.3,1.7,1.6,8.77,8.87,8.84,8.39,8.41,8.38,2,2.17,2,1.51,2.28,1.51,7.58,7.25,7,6.85,6.76,7.05,7.44,7.39,7.48,7.91,7.86,8.07,2.3,1.7,2,2.3,2,2.3
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,2,2,2,2.3,2.3,2,7,7,7.03,7.65,7.66,7.28,1.6,1.3,1.7,1.6,2,2,8.08,8.08,8.12,8.08,8.09,8.3,2,1.95,2,2.6,2,2,7.57,7.89,7.94,7.83,7.89,7.79,8.48,8.57,8.54,8.46,8.48,8.39,2.5,2,2.3,2.5,2.3,2.3
