,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L2182,L2182,L2182,L2182,L2182,L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D1-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182,D1-D6-L2182
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,3.8,3.8,3.6,3.6,3.5,3.8,5.17,5.18,5.12,4.64,4.57,4.48,2.11,2.68,2.2,2,2,2,5.32,5.18,5.14,5.3,5.29,5.41,3,2.7,2.85,2.95,2.58,2.58,4.64,4.36,4.65,4.7,4.18,4.3,5.14,5.44,5.36,4.3,4.2,3.85,3.3,3.7,3.6,3.3,3.5,3.5
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,4.64,4.65,4.7,4.48,4.7,4.7,7.23,7.13,7.13,6.59,7.28,6.75,3.85,3.3,4.48,4.11,3.78,3.95,6.77,6.65,6.8,6.36,6.62,6.26,3.85,3.6,3.78,4.23,4.17,4,6.83,6.85,6.85,6,6.27,6.34,7.15,6.46,6.81,6.18,6.21,6.27,4.3,5.04,4,4.43,4.32,4.54
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,6,6.48,6,6.32,6.2,6,8.1,8.08,7.97,8,7.6,7.76,4.78,5.04,5.64,5,5,5,7.92,7.78,7.97,8.18,8.38,8.05,5.32,5.67,5.67,6.13,6.07,6.09,7.65,7.83,7.71,6.85,7.38,7.34,8.07,8.2,8.24,7.08,7.27,7.09,5.23,5.23,5.38,5.87,6.06,6.22
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,7.15,7.34,7.88,6.98,7,7,8.06,8.15,8.05,8.15,8.34,8.09,5.6,6.04,6.18,6,6,6,9.2,9.19,9.23,9.26,9.2,9.2,6.96,6.83,6.88,7.5,7.33,7.2,8.2,8.16,8.11,7.98,7.98,8.22,8.94,8.9,8.72,8.94,8.61,8.93,6.6,6.51,6.88,7.09,7.21,6.98
