,D1,D1,D1,D1,D1,D1,D6,D6,D6,D6,D6,D6,L1091,L1091,L1091,L1091,L1091,L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D1-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091,D1-D6-L1091
6h,4.93,4.9,5,4.56,4.2,4.78,5.17,5,4.93,4.7,5,5,1,1,1,1,1,1,4.78,4.9,4.45,5.17,4.59,4.78,1,1,1,1,1,1,5.47,5.68,5.62,4.99,5.05,4.95,1,1,1,1,1,1,4.94,4.96,4.9,4.9,4.87,4.84,5.2,5.09,5.2,5.26,5.19,5.3,1,1,1,1,1,1
24h,5.7,6.2,5.2,6.35,6.56,6.78,6.66,6.56,6.46,6.36,6.11,5.95,1.3,1,1.6,1,1,1,6.36,6.3,6.38,6.36,6.3,6.38,1.3,1,1,1,1,1,6.11,6.38,5.9,6.57,6.62,6.74,1.48,2,1.3,1.6,1.7,2.3,6.36,6.19,6.31,6,6.59,6.64,6.5,6.6,6.29,6.3,6.01,6,1.6,1.95,1.6,1.6,1.3,1.3
48h,7.34,6.88,7.11,7.09,7.04,6.94,8.47,8.51,8.52,8.78,8.8,8.7,1.6,1.6,1.7,1.6,2,1.7,8.26,8,7.85,8,7.96,7.83,1.3,1.48,1.6,1.3,1.3,1.3,8.68,8.89,8.9,8.39,8.48,8.25,2.11,2,2,1.91,1.93,2,6.98,6.99,7.06,7.04,7.5,7.5,7.39,7.36,7.38,8.1,8.08,8.15,2.3,2.3,2,2,1.6,1.7
72h,7.15,7.46,7.61,6.8,6.65,6.84,9.2,9.11,9.14,8.58,8.58,8.53,2,2.3,2.6,2,2,2.3,7,7.48,7,7.89,7.85,7.76,1.6,1.6,2,1.9,2,1.98,8,7.95,8.2,8,8.33,8.32,2,2.2,1.78,2,2,2.5,7.89,7.91,7.87,7.76,7.91,8,8.51,8.48,8.48,8.49,8.49,8.51,2.45,2,2,2.62,2.15,2.04
