,,Brochothrix thermosphacta (D1),Brochothrix thermosphacta (D1),Brochothrix thermosphacta (D1),Pseudomonas fluorescens (D6),Pseudomonas fluorescens (D6),Pseudomonas fluorescens (D6),Psychrobacter pulmonis (D7),Psychrobacter pulmonis (D7),Psychrobacter pulmonis (D7),Listeria monocytogenes (L43),Listeria monocytogenes (L43),Listeria monocytogenes (L43),Listeria monocytogenes (L1091),Listeria monocytogenes (L1091),Listeria monocytogenes (L1091),Listeria monocytogenes (L2182),Listeria monocytogenes (L2182),Listeria monocytogenes (L2182),Listeria monocytogenes (L1253),Listeria monocytogenes (L1253),Listeria monocytogenes (L1253),,,,,,
0h,,7.73,7.68,7.86,8.2,8.18,8.12,7.99,8,7.89,8.29,8.15,8.23,8.27,8.19,8.24,8.12,8.19,8.23,8.23,8.22,8.21,,,,,,
6h,,8.14,8.19,8.2,7.73,7.86,7.84,7.31,7.23,7.23,8.37,8.41,8.41,8.22,8.18,8.23,8.33,8.29,8.26,8.14,8.17,8.02,,,,,,
24h,,8.01,8.04,8.18,8.18,7.92,7.8,7,7,7.3,8.05,8.16,8.03,8.08,7.95,8.1,8.14,8.06,8.23,7.87,8.08,8,,,,,,
48h,,8.01,7.98,7.97,8.41,8.42,8.41,7,7.01,6.79,8.21,8.26,8.26,8.2,8.19,8.14,8.16,8.02,8.18,8.01,8.06,7.96,,,,,,
72h,,8.03,8.03,8.07,8.41,8.51,8.53,7.2,7.05,7.09,8.16,8,8.14,8.04,8.03,7.99,8.1,8,8.05,7.89,7.93,7.89,,,,,,
