,,Brochothrix thermosphacta (D1),Brochothrix thermosphacta (D1),Brochothrix thermosphacta (D1),Pseudomonas fluorescens (D6),Pseudomonas fluorescens (D6),Pseudomonas fluorescens (D6),Psychrobacter pulmonis (D7),Psychrobacter pulmonis (D7),Psychrobacter pulmonis (D7),Listeria monocytogenes (L43),Listeria monocytogenes (L43),Listeria monocytogenes (L43),Listeria monocytogenes (L1091),Listeria monocytogenes (L1091),Listeria monocytogenes (L1091),Listeria monocytogenes (L2182),Listeria monocytogenes (L2182),Listeria monocytogenes (L2182),Listeria monocytogenes (L1253),Listeria monocytogenes (L1253),Listeria monocytogenes (L1253)
6h,,6.8,6.73,6.5,6.6,6.27,6.84,6.55,6.52,6.59,6.63,6.68,6.72,6.6,6.56,6.56,6.58,6.68,6.45,6.21,6.5,6.43
24h,,7.33,7.39,7.35,8.09,7.81,7.91,6.73,6.7,6.96,7.06,6.78,6.8,6.65,7.21,7.06,6.78,6.8,7.04,6.58,7.22,6.84
48h,,7.32,7.37,7.49,8.4,8.5,8.7,6.99,6.88,6.95,7.36,7.54,7.4,7.35,7.38,7.09,7.47,7.42,7.48,7.12,7.45,7.38
72h,,7.67,7.57,7.7,8.18,8.13,8.18,6.92,7.19,6.85,6.84,6.98,6.96,6.95,7.25,7.12,7.25,7.3,7.24,6.99,7.4,7.47
