,L43,L1091,L1253,L2182
L43,,0.24979323300617967,0.09208865351190608,0.5993771389565554
L1091,0.24979323300617967,,0.05307654060233557,0.29011225221873665
L1253,0.09208865351190608,0.05307654060233557,,0.9707395872323293
L2182,0.5993771389565554,0.29011225221873665,0.9707395872323293,
