strain,time_h,mean,sem,n
L1091,0,0.0,0.0,3
L1091,6,5.523333333333333,0.12333333333333314,3
L1091,24,6.596666666666667,0.052387445485005756,3
L1091,48,6.593333333333334,0.072188026092359,3
L1091,72,6.343333333333334,0.03480102169636876,3
L1253,0,0.0,0.0,3
L1253,6,6.28,0.04358898943540667,3
L1253,24,6.526666666666666,0.044845413490245775,3
L1253,48,6.6933333333333325,0.07535103036971538,3
L1253,72,6.726666666666667,0.020275875100993792,3
L2182,0,0.0,0.0,3
L2182,6,5.963333333333334,0.13666666666666635,3
L2182,24,6.516666666666667,0.050442486501405065,3
L2182,48,6.713333333333334,0.02027587510099414,3
L2182,72,6.546666666666667,0.05456901847914953,3
L43,0,0.0,0.0,3
L43,6,5.66,0.12858201014657283,3
L43,24,6.656666666666666,0.061191865835619384,3
L43,48,6.640000000000001,0.05033222956847168,3
L43,72,6.66,0.14977761292440647,3
