,L43,L1091,L1253,L2182
L43,,0.024459819309157207,0.05036269475145123,0.01692219911073886
L1091,0.024459819309157207,,0.010926808491336312,2.2380278368686835e-05
L1253,0.05036269475145123,0.010926808491336312,,0.1543897196745814
L2182,0.01692219911073886,2.2380278368686835e-05,0.1543897196745814,
