,L43,L1091,L1253,L2182
L43,,0.29154410512435763,4.755557149376078e-05,0.010924050740105579
L1091,0.29154410512435763,,4.3829441877837037e-07,0.004486477265271934
L1253,4.755557149376078e-05,4.3829441877837037e-07,,0.0031291525533329095
L2182,0.010924050740105579,0.004486477265271934,0.0031291525533329095,
